"","Gene.Set","L","O","S"
"1","Neutrophil degranulation(R)",3.14e-13,3.28e-09,1.11e-16
"2","Antimicrobial peptides(R)",7.69e-06,0.00114,0.00131
"3","Toll-Like Receptors Cascades(R)",1.85e-05,0.00339,0.000278
"4","Signaling by Interleukins(R)",8.91e-05,1.88e-05,8.24e-08
"5","Fructose and mannose metabolism(K)",0.000421,0.2865,0.449
"6","IL4-mediated signaling events(N)",0.000547,0.000504,0.1065
"7","Amoebiasis(K)",0.000597,0.0797,1.42e-05
"8","TNF signaling pathway(K)",0.00108,0.6767,0.000961
"9","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds(R)",0.00112,0.01,0.5403
"10","Growth hormone receptor signaling(R)",0.0021,0.2176,0.3517
"11","IL2-mediated signaling events(N)",0.00255,0.0183,0.0751
"12","Metabolism of carbohydrates(R)",0.00312,0.4261,0.6075
"13","Insulin signaling pathway(K)",0.00358,0.4194,0.7198
"14","Hematopoietic cell lineage(K)",0.00359,0.2608,7.87e-05
"15","Validated targets of C-MYC transcriptional repression(N)",0.00371,0.1258,0.2945
"16","IL12-mediated signaling events(N)",0.00393,0.1292,0.00527
"17","toll-like receptor pathway(B)",0.0047,0.2792,0.00286
"18","Inflammatory bowel disease (IBD)(K)",0.00491,0.00058,0.031
"19","EPO signaling pathway(N)",0.00511,0.2865,0.449
"20","Toll-like receptor signaling pathway(K)",0.00519,0.0238,2.75e-05
"21","IL1-mediated signaling events(N)",0.00555,0.2938,0.0242
"22","signal transduction through il1r(B)",0.00601,0.301,0.0261
"23","Cytokine-cytokine receptor interaction(K)",0.00666,0.000408,7.78e-06
"24","IL23-mediated signaling events(N)",0.00699,0.3152,0.03
"25","GMCSF-mediated signaling events(N)",0.00699,0.0555,0.03
"26","RET signaling(R)",0.00876,0.3961,0.5693
"27","Osteoclast differentiation(K)",0.0126,0.3909,6.19e-12
"28","Syndecan-1-mediated signaling events(N)",0.0138,0.1595,0.2642
"29","Angiopoietin receptor Tie2-mediated signaling(N)",0.0157,0.0931,0.2281
"30","Mineral absorption(K)",0.0174,0.0166,0.2414
"31","Signaling by Leptin(R)",0.0224,0.3601,0.3258
"32","Platelet homeostasis(R)",0.0241,0.00328,0.656
"33","nfkb activation by nontypeable hemophilus influenzae(B)",0.0263,0.2176,0.0704
"34","VEGFR3 signaling in lymphatic endothelium(N)",0.0283,0.0274,0.0755
"35","S1P3 pathway(N)",0.0283,0.2256,0.3633
"36","Endogenous TLR signaling(N)",0.0283,0.2256,0.000102
"37","Signaling events mediated by VEGFR1 and VEGFR2(N)",0.0285,0.1361,0.6801
"38","Signaling by VEGF(R)",0.0307,0.5642,0.2624
"39","BCR signaling pathway(N)",0.0308,0.4862,0.031
"40","cGMP-PKG signaling pathway(K)",0.0315,0.2464,0.5853
"41","Signaling by SCF-KIT(R)",0.0322,0.1761,0.6018
"42","VEGFR1 specific signals(N)",0.0326,0.2413,0.3859
"43","Central carbon metabolism in cancer(K)",0.0333,0.4967,0.3406
"44","NCAM signaling for neurite out-growth(R)",0.0341,0.6859,0.6007
"45","Toxoplasmosis(K)",0.0353,0.1207,0.00597
"46","Osteopontin-mediated events(N)",0.0371,0.0359,0.00201
"47","Adipocytokine signaling pathway(K)",0.0371,0.5119,0.1338
"48","Tuberculosis(K)",0.0396,0.00252,3.79e-08
"49","Transcriptional misregulation in cancer(K)",0.0404,0.5506,0.00175
"50","AMPK signaling pathway(K)",0.0411,0.3618,0.6559
"51","Leishmaniasis(K)",0.0412,0.1715,1.22e-09
"52","Pertussis(K)",0.0454,0.0435,8.36e-05
"53","Trk receptor signaling mediated by the MAPK pathway(N)",0.0467,0.2865,0.1201
"54","MAPK signaling pathway(K)",0.0508,0.7372,0.0182
"55","FoxO signaling pathway(K)",0.0519,0.7477,0.4354
"56","CXCR3-mediated signaling events(N)",0.0519,0.301,0.4686
"57","RAF/MAP kinase cascade(R)",0.0594,0.6108,0.4914
"58","Bladder cancer(K)",0.0684,0.0664,0.0388
"59","Signaling by Insulin receptor(R)",0.0698,0.3141,0.738
"60","NF-kappa B signaling pathway(K)",0.0773,0.2533,0.000373
"61","il-2 receptor beta chain in t cell activation(B)",0.0773,0.075,0.1888
"62","Endocrine resistance(K)",0.083,0.6342,0.1027
"63","FGF signaling pathway(N)",0.0865,0.00145,0.00175
"64","IL6-mediated signaling events(N)",0.0865,0.3819,0.00175
"65","Estrogen signaling pathway(K)",0.0869,0.2722,0.0359
"66","Ras signaling pathway(K)",0.0914,0.906,0.5938
"67","Chagas disease (American trypanosomiasis)(K)",0.095,0.2873,0.012
"68","Gastrin-CREB signalling pathway via PKC and MAPK(R)",0.0978,0.3395,0.2402
"69","Th17 cell differentiation(K)",0.1012,0.00501,0.576
"70","NOD-like receptor signaling pathway(K)",0.102,0.0308,0.0891
"71","Insulin resistance(K)",0.1055,0.026,0.3141
"72","Legionellosis(K)",0.1124,0.0192,8.66e-06
"73","Non-small cell lung cancer(K)",0.1158,0.4364,0.2679
"74","Acute myeloid leukemia(K)",0.1192,0.4422,0.2746
"75","ER to Golgi Anterograde Transport(R)",0.1232,0.6993,0.6245
"76","B cell activation(P)",0.126,0.4535,0.0228
"77","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)",0.1276,0.4845,0.6773
"78","Signaling by PDGF(R)",0.1277,0.1201,0.38
"79","Herpes simplex infection(K)",0.1278,0.2932,0.2431
"80","Neurotrophin signaling pathway(K)",0.1324,0.3508,0.8886
"81","Ras signaling in the CD4+ TCR pathway(N)",0.1356,0.1333,0.0269
"82","Ras Pathway(P)",0.14,0.4755,0.6801
"83","Arf6 downstream pathway(N)",0.1445,0.1421,0.2372
"84","Interferon-gamma signaling pathway(P)",0.1445,0.1421,0.2372
"85","HIF-1-alpha transcription factor network(N)",0.1471,0.143,0.00684
"86","Signalling by NGF(R)",0.1496,0.1402,0.8795
"87","Renal cell carcinoma(K)",0.1543,0.4967,0.7024
"88","Focal adhesion(K)",0.1579,0.1509,0.0305
"89","Direct p53 effectors(N)",0.159,0.1532,0.0336
"90","Hepatitis C(K)",0.1615,0.3945,0.6932
"91","Fc epsilon RI signaling pathway(K)",0.1652,0.5119,0.00184
"92","Proteoglycans in cancer(K)",0.1658,0.0597,0.000105
"93","Ubiquitin mediated proteolysis(K)",0.1716,0.7554,0.9168
"94","Adherens junction(K)",0.1726,0.5219,0.7283
"95","Apoptosis(K)",0.1793,0.7629,0.1109
"96","Rap1 signaling pathway(K)",0.18,0.3684,0.00552
"97","O-linked glycosylation(R)",0.1837,0.5364,0.7427
"98","Asparagine N-linked glycosylation(R)",0.1945,0.6574,0.907
"99","Hepatitis B(K)",0.1949,0.1881,0.00538
"100","igf-1 signaling pathway(B)",0.1963,0.1932,0.3155
"101","Complement and coagulation cascades(K)",0.1987,0.0478,2.7e-07
"102","Adrenergic signaling in cardiomyocytes(K)",0.2028,0.4507,0.9332
"103","ccr3 signaling in eosinophils(B)",0.2047,0.2014,0.3278
"104","T cell activation(P)",0.2063,0.5642,0.0601
"105","C-MYB transcription factor network(N)",0.21,0.5686,0.4357
"106","L1CAM interactions(R)",0.21,0.5686,0.7734
"107","Signaling events mediated by PRL(N)",0.2129,0.2096,0.3398
"108","corticosteroids and cardioprotection(B)",0.2211,0.2176,0.3517
"109","Alpha9 beta1 integrin signaling events(N)",0.2211,0.002,0.0097
"110","Jak-STAT signaling pathway(K)",0.2271,0.00585,0.0681
"111","ras-independent pathway in nk cell-mediated cytotoxicity(B)",0.2291,0.2256,0.3633
"112","Pathways in cancer(K)",0.2326,0.7753,0.1063
"113","Signaling by EGFR(R)",0.2348,0.2241,0.8259
"114","IL3-mediated signaling events(N)",0.2371,0.2335,0.0807
"115","RXR and RAR heterodimerization with other nuclear receptor(N)",0.2371,0.2335,0.3747
"116","Protein digestion and absorption(K)",0.2406,0.6027,0.8041
"117","Rheumatoid arthritis(K)",0.2406,0.00242,0.0062
"118","DAP12 interactions(R)",0.2464,0.0482,0.3653
"119","FGF signaling pathway(P)",0.2482,0.242,0.4949
"120","Th1 and Th2 cell differentiation(K)",0.2482,0.0688,0.8111
"121","GnRH signaling pathway(K)",0.2482,0.6108,0.4949
"122","role of ÃŸ-arrestins in the activation and targeting of map kinases(B)",0.2529,0.0337,0.0146
"123","Progesterone-mediated oocyte maturation(K)",0.2713,0.6342,0.8306
"124","Influenza A(K)",0.2743,0.2656,0.0148
"125","Inflammatory mediator regulation of TRP channels(K)",0.2751,0.2684,0.2653
"126","amb2 Integrin signaling(N)",0.2759,0.0405,1.9e-06
"127","Axon guidance(K)",0.2799,0.5415,0.2169
"128","HTLV-I infection(K)",0.2813,0.1252,0.0972
"129","PI3K-Akt signaling pathway(K)",0.2818,0.024,0.1655
"130","AGE-RAGE signaling pathway in diabetic complications(K)",0.2828,0.6453,0.0106
"131","Retrograde endocannabinoid signaling(K)",0.2828,0.6453,0.5447
"132","Syndecan-4-mediated signaling events(N)",0.2834,0.00447,0.000318
"133","ROS, RNS production in phagocytes(R)",0.2834,0.0429,0.0207
"134","roles of ÃŸ arrestin dependent recruitment of src kinases in gpcr signaling(B)",0.2834,0.0429,0.00286
"135","Syndecan-2-mediated signaling events(N)",0.2834,0.2792,0.439
"136","Endocytosis(K)",0.2859,0.0511,0.3291
"137","Chemokine signaling pathway(K)",0.3082,0.0127,1.97e-06
"138","Class I MHC mediated antigen processing & presentation(R)",0.3138,0.8574,0.2565
"139","Validated transcriptional targets of AP1 family members Fra1 and Fra2(N)",0.3198,0.3152,0.000612
"140","ErbB2/ErbB3 signaling events(N)",0.3198,0.3152,0.4875
"141","nfat and hypertrophy of the heart (B)",0.3198,0.3152,0.4875
"142","PIP3 activates AKT signaling(R)",0.3211,0.3136,0.5959
"143","Serotonergic synapse(K)",0.3287,0.3211,0.1489
"144","Formation of Fibrin Clot (Clotting Cascade)(R)",0.3339,0.3291,0.5057
"145","Leukocyte transendothelial migration(K)",0.34,0.00698,0.000294
"146","IFN-gamma pathway(N)",0.3408,0.3359,0.5146
"147","FOXM1 transcription factor network(N)",0.3408,0.3359,0.5146
"148","Plasma membrane estrogen receptor signaling(N)",0.3544,0.3494,0.1759
"149","Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling(N)",0.3544,0.00939,9.81e-08
"150","PDGFR-beta signaling pathway(N)",0.3551,0.1252,0.1728
"151","Sphingolipid signaling pathway(K)",0.3551,0.7085,0.1728
"152","Vascular smooth muscle contraction(K)",0.3588,0.7114,0.8886
"153","ion channels and their functional role in vascular endothelium(B)",0.3611,0.0721,0.0436
"154","Platelet activation(K)",0.3626,0.7144,0.0071
"155","Lysosome(K)",0.3663,0.3582,0.6516
"156","ABC transporters(K)",0.3743,0.0779,0.5566
"157","Carbohydrate digestion and absorption(K)",0.3808,0.3755,0.2018
"158","Regulation of actin cytoskeleton(K)",0.3846,0.1763,0.0164
"159","Integrins in angiogenesis(N)",0.3872,0.0127,0.2083
"160","Endocrine and other factor-regulated calcium reabsorption(K)",0.3872,0.0839,0.5724
"161","Amyloid fiber formation(R)",0.3872,0.3819,0.5724
"162","Dopaminergic synapse(K)",0.3922,0.3837,0.6811
"163","t cell receptor signaling pathway(B)",0.3936,0.3882,0.0569
"164","GPVI-mediated activation cascade(R)",0.3999,0.00169,0.0021
"165","Validated transcriptional targets of TAp63 isoforms(N)",0.3999,0.3945,0.5876
"166","Malaria(K)",0.3999,0.00169,3.77e-06
"167","Fc epsilon receptor (FCERI) signaling(R)",0.4131,0.0561,0.5982
"168","Senescence-Associated Secretory Phenotype (SASP)(R)",0.4184,0.0994,0.6094
"169","Signaling events mediated by PTP1B(N)",0.4184,0.4128,0.0151
"170","Thromboxane A2 receptor signaling(N)",0.4305,0.4248,0.0751
"171","Signaling pathways regulating pluripotency of stem cells(K)",0.4354,0.7678,0.9241
"172","Interleukin signaling pathway(P)",0.4364,0.0192,0.0182
"173","Transport of inorganic cations/anions and amino acids/oligopeptides(R)",0.4364,0.4306,0.2613
"174","Endothelin signaling pathway(P)",0.4364,0.4306,0.2613
"175","PI Metabolism(R)",0.4595,0.1224,0.656
"176","Long-term depression(K)",0.4651,0.4591,0.6622
"177","Signaling by PTK6(R)",0.4706,0.4646,0.0991
"178","Fc-epsilon receptor I signaling in mast cells(N)",0.4762,0.1326,0.000152
"179","Phagosome(K)",0.4769,0.0213,2.88e-08
"180","mTOR signaling pathway(K)",0.4769,0.7949,0.5265
"181","LPA receptor mediated events(N)",0.4816,0.4755,0.1065
"182","Downstream signaling in naïve CD8+ T cells(N)",0.487,0.1395,0.0295
"183","Integrin signalling pathway(P)",0.4903,0.0235,0.0255
"184","Fcgamma receptor (FCGR) dependent phagocytosis(R)",0.4937,0.0807,0.1617
"185","Extracellular matrix organization(R)",0.4964,0.00127,0.000251
"186","Long-term potentiation(K)",0.5028,0.15,0.7024
"187","TCR signaling in naïve CD4+ T cells(N)",0.5028,0.15,0.00774
"188","Interferon alpha/beta signaling(R)",0.508,0.033,0.1258
"189","Epithelial cell signaling in Helicobacter pylori infection(K)",0.508,0.1536,0.1258
"190","Protein processing in endoplasmic reticulum(K)",0.5133,0.817,0.9502
"191","AP-1 transcription factor network(N)",0.5182,0.0355,0.000316
"192","Inflammation mediated by chemokine and cytokine signaling pathway(P)",0.5232,0.1643,0.00977
"193","Arrhythmogenic right ventricular cardiomyopathy (ARVC)(K)",0.5282,0.5219,0.373
"194","B cell receptor signaling pathway(K)",0.5331,0.5268,0.00227
"195","Interferon gamma signaling(R)",0.5331,0.0069,0.7332
"196","Chronic myeloid leukemia(K)",0.5331,0.5268,0.7332
"197","Platinum drug resistance(K)",0.5428,0.5364,0.7427
"198","Validated targets of C-MYC transcriptional activation(N)",0.5428,0.1788,0.7427
"199","p73 transcription factor network(N)",0.5428,0.5364,0.3922
"200","Regulation of nuclear SMAD2/3 signaling(N)",0.5523,0.5458,0.7519
"201","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways(R)",0.5523,0.5458,0.7519
"202","Bacterial invasion of epithelial cells(K)",0.5569,0.5505,0.1676
"203","Regulation of nuclear beta catenin signaling and target gene transcription(N)",0.5661,0.5596,0.765
"204","CXCR4-mediated signaling events(N)",0.5661,0.00943,0.0156
"205","Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)",0.5661,0.1971,0.765
"206","ECM-receptor interaction(K)",0.5751,0.0523,0.0623
"207","Peroxisome(K)",0.5795,0.573,0.4418
"208","Hypertrophic cardiomyopathy (HCM)(K)",0.5795,0.573,0.7775
"209","Generic Transcription Pathway(R)",0.5877,0.8849,0.8844
"210","GPCR ligand binding(R)",0.5911,0.378,0.013
"211","Gap junction(K)",0.601,0.5945,0.7968
"212","Fatty acid, triacylglycerol, and ketone body metabolism(R)",0.6039,0.5942,0.6848
"213","MicroRNAs in cancer(K)",0.6042,0.9548,0.2959
"214","EPH-Ephrin signaling(R)",0.6052,0.5986,0.8005
"215","Dilated cardiomyopathy(K)",0.6093,0.6027,0.8041
"216","Salivary secretion(K)",0.6093,0.2345,0.8041
"217","Epstein-Barr virus infection(K)",0.6285,0.6188,0.3082
"218","Circadian entrainment(K)",0.6331,0.6265,0.5175
"219","Response to elevated platelet cytosolic Ca2+(R)",0.6697,0.0952,4.5e-06
"220","Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway(P)",0.6765,0.67,0.1327
"221","Alzheimer disease-presenilin pathway(P)",0.6866,0.6801,0.5959
"222","Cholinergic synapse(K)",0.6866,0.6801,0.3239
"223","Glutamatergic synapse(K)",0.6963,0.6898,0.8734
"224","TCR signaling(R)",0.7237,0.132,0.3826
"225","Binding and Uptake of Ligands by Scavenger Receptors(R)",0.7266,0.3618,0.3874
"226","Complement cascade(R)",0.7351,0.0418,0.4019
"227","Natural killer cell mediated cytotoxicity(K)",0.7565,0.0503,0.000862
"228","Measles(K)",0.759,0.00284,0.0123
"229","Intra-Golgi and retrograde Golgi-to-ER traffic(R)",0.7714,0.7653,0.9227
"230","Signaling by the B Cell Receptor (BCR)(R)",0.7741,0.00668,0.8672
"231","Phospholipase D signaling pathway(K)",0.7785,0.4334,0.1209
"232","Cell adhesion molecules (CAMs)(K)",0.7808,0.4369,0.049
"233","Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)",0.7854,0.7795,0.4955
"234","Oxytocin signaling pathway(K)",0.8109,0.8053,0.1617
"235","Ion channel transport(R)",0.8299,0.2491,0.9537
"236","Alzheimer's disease(K)",0.8334,0.5229,0.8154
"237","Calcium signaling pathway(K)",0.8517,0.1168,0.6393
"238","Metabolic pathways(K)",0.8607,0.9919,1
"239","Signaling by Rho GTPases(R)",0.8608,0.4365,0.3858
"240","Viral carcinogenesis(K)",0.8813,0.8767,0.7107
"241","Cell surface interactions at the vascular wall(R)",0.8874,5.86e-05,0.000449
"242","GPCR downstream signaling(R)",0.9214,0.4601,0.1026
"243","Neuroactive ligand-receptor interaction(K)",0.9465,0.9437,0.5643
"244","Olfactory transduction(K)",0.9881,0.9871,0.9959
